genome,Modules,KO_number,median_comparison,median_high,median_low,IQR_high,IQR_low
Lachnospiraceae bacterium NK4A144,M00003,K01610,High,0.0788218745,0.050406465,0.02847100475,0.022036673
Lachnospiraceae bacterium NK4A144,M00001,K01624,High,0.060821412,0.10442128,0.05068451,0.044751977
Lachnospiraceae bacterium NK4A144,M00003,K01624,High,0.060821412,0.10442128,0.05068451,0.044751977
Lachnospiraceae bacterium NK4A144,M00165,K01624,High,0.060821412,0.10442128,0.05068451,0.044751977
Lachnospiraceae bacterium NK4A144,M00001,K01803,High,0.098054884,0.090197046,0.017860935,0.017607649
Lachnospiraceae bacterium NK4A144,M00003,K01803,High,0.098054884,0.090197046,0.017860935,0.017607649
Lachnospiraceae bacterium NK4A144,M00165,K01803,High,0.098054884,0.090197046,0.017860935,0.017607649
Lachnospiraceae bacterium NK4A144,M00001,K01810,High,0.160918607,0.106490254,0.022793565,0.079842138
Methanobrevibacter gottschalkii DSM,M00009,K00024,High,0.167249681,0.141373962,0.0312208965,0.025390126
Methanobrevibacter gottschalkii DSM,M00016,K00133,High,0.1938923195,0.115741512,0.02005245175,0.04495315325
Methanobrevibacter gottschalkii DSM,M00525,K00133,High,0.1938923195,0.115741512,0.02005245175,0.04495315325
Methanobrevibacter gottschalkii DSM,M00526,K00133,High,0.1938923195,0.115741512,0.02005245175,0.04495315325
Methanobrevibacter gottschalkii DSM,M00527,K00133,High,0.1938923195,0.115741512,0.02005245175,0.04495315325
Methanobrevibacter gottschalkii DSM,M00009,K00174,High,0.095911088,0.0784076715,0.00575898024999999,0.019063676
Methanobrevibacter gottschalkii DSM,M00009,K00175,High,0.098770773,0.073743714,0.00504406249999999,0.0154677175
Methanobrevibacter gottschalkii DSM,M00009,K00176,High,0.158008532,0.152248655,0.0245052295,0.02853180525
Methanobrevibacter gottschalkii DSM,M00009,K00177,High,0.09375578,0.079174341,0.01010569625,0.0160125245
Methanobrevibacter gottschalkii DSM,M00016,K00215,High,0.140028022,0.1367067435,0.03856607925,0.01150726
Methanobrevibacter gottschalkii DSM,M00525,K00215,High,0.140028022,0.1367067435,0.03856607925,0.01150726
Methanobrevibacter gottschalkii DSM,M00526,K00215,High,0.140028022,0.1367067435,0.03856607925,0.01150726
Methanobrevibacter gottschalkii DSM,M00527,K00215,High,0.140028022,0.1367067435,0.03856607925,0.01150726
Methanobrevibacter gottschalkii DSM,M00009,K00239,High,0.091014775,0.0839859,0.00811555825,0.00397690149999999
Methanobrevibacter gottschalkii DSM,M00009,K00241,High,0.1479996695,0.1321411335,0.02131567175,0.011950326
Methanobrevibacter gottschalkii DSM,M00009,K00382,High,0.1561473915,0.1565884215,0.03029032575,0.011891767
Methanobrevibacter gottschalkii DSM,M00924,K00595,High,0.141011363,0.107159312,0.0132589665,0.025927595
Methanobrevibacter gottschalkii DSM,M00925,K00595,High,0.141011363,0.107159312,0.0132589665,0.025927595
Methanobrevibacter gottschalkii DSM,M00016,K00821,High,0.100703039,0.090286929,0.0096413355,0.021799763
Methanobrevibacter gottschalkii DSM,M00003,K00927,High,0.1033106525,0.0732936945,0.00676054574999999,0.01372405725
Methanobrevibacter gottschalkii DSM,M00016,K00928,High,0.134210812,0.0726316285,0.03114235825,0.02493538225
Methanobrevibacter gottschalkii DSM,M00525,K00928,High,0.134210812,0.0726316285,0.03114235825,0.02493538225
Methanobrevibacter gottschalkii DSM,M00526,K00928,High,0.134210812,0.0726316285,0.03114235825,0.02493538225
Methanobrevibacter gottschalkii DSM,M00527,K00928,High,0.134210812,0.0726316285,0.03114235825,0.02493538225
Methanobrevibacter gottschalkii DSM,M00016,K01586,High,0.061477518,0.067584559,0.00641019800000001,0.00697971149999999
Methanobrevibacter gottschalkii DSM,M00525,K01586,High,0.061477518,0.067584559,0.00641019800000001,0.00697971149999999
Methanobrevibacter gottschalkii DSM,M00526,K01586,High,0.061477518,0.067584559,0.00641019800000001,0.00697971149999999
Methanobrevibacter gottschalkii DSM,M00527,K01586,High,0.061477518,0.067584559,0.00641019800000001,0.00697971149999999
Methanobrevibacter gottschalkii DSM,M00003,K01622,High,0.1035448655,0.121040547,0.00798419400000001,0.03759470325
Methanobrevibacter gottschalkii DSM,M00009,K01647,High,0.131142287,0.074548937,0.019009454,0.01805514
Methanobrevibacter gottschalkii DSM,M00009,K01676,High,0.104401689,0.112562365,0.02711504025,0.01194098425
Methanobrevibacter gottschalkii DSM,M00009,K01677,High,0.087992102,0.095756111,0.015453169,0.0115256745
Methanobrevibacter gottschalkii DSM,M00009,K01678,High,0.120422103,0.137237285,0.03312225975,0.028931483
Methanobrevibacter gottschalkii DSM,M00003,K01689,High,0.1314582725,0.0839522765,0.0117830965,0.02055760975
Methanobrevibacter gottschalkii DSM,M00016,K01714,High,0.1565259645,0.122551362,0.03701758625,0.0337431615
Methanobrevibacter gottschalkii DSM,M00525,K01714,High,0.1565259645,0.122551362,0.03701758625,0.0337431615
Methanobrevibacter gottschalkii DSM,M00526,K01714,High,0.1565259645,0.122551362,0.03701758625,0.0337431615
Methanobrevibacter gottschalkii DSM,M00527,K01714,High,0.1565259645,0.122551362,0.03701758625,0.0337431615
Methanobrevibacter gottschalkii DSM,M00016,K01778,High,0.0895911325,0.077497864,0.017277623,0.01294570825
Methanobrevibacter gottschalkii DSM,M00525,K01778,High,0.0895911325,0.077497864,0.017277623,0.01294570825
Methanobrevibacter gottschalkii DSM,M00527,K01778,High,0.0895911325,0.077497864,0.017277623,0.01294570825
Methanobrevibacter gottschalkii DSM,M00003,K01803,High,0.13013286,0.10177057,0.01136998425,0.0161764955
Methanobrevibacter gottschalkii DSM,M00009,K01902,High,0.1352669745,0.104097636,0.010473471,0.018606654
Methanobrevibacter gottschalkii DSM,M00009,K01903,High,0.136623898,0.105033914,0.01536763725,0.017780266
Methanobrevibacter gottschalkii DSM,M00924,K02188,High,0.140563045,0.1308879265,0.00969984000000002,0.02732027525
Methanobrevibacter gottschalkii DSM,M00924,K02191,High,0.1097062525,0.0939110865,0.01207670725,0.022857526
Methanobrevibacter gottschalkii DSM,M00924,K02224,High,0.1206782515,0.113585666,0.010929256,0.0111169765
Methanobrevibacter gottschalkii DSM,M00925,K02224,High,0.1206782515,0.113585666,0.010929256,0.0111169765
Methanobrevibacter gottschalkii DSM,M00925,K02230,High,0.127283231,0.117729908,0.01717702,0.0337645935
Methanobrevibacter gottschalkii DSM,M00924,K02303,High,0.100541242,0.086382577,0.00860382225,0.00664107575
Methanobrevibacter gottschalkii DSM,M00925,K02303,High,0.100541242,0.086382577,0.00860382225,0.00664107575
Mitsuokella jalaludinii DSM,M00016,K00133,High,0.137781407,0.128091286,0.037542322,0.08256004
Mitsuokella jalaludinii DSM,M00525,K00133,High,0.137781407,0.128091286,0.037542322,0.08256004
Mitsuokella jalaludinii DSM,M00526,K00133,High,0.137781407,0.128091286,0.037542322,0.08256004
Mitsuokella jalaludinii DSM,M00527,K00133,High,0.137781407,0.128091286,0.037542322,0.08256004
Mitsuokella jalaludinii DSM,M00001,K00134,High,0.1733595595,0.099309861,0.03936375325,0.03743415775
Mitsuokella jalaludinii DSM,M00003,K00134,High,0.1733595595,0.099309861,0.03936375325,0.03743415775
Mitsuokella jalaludinii DSM,M00165,K00134,High,0.1733595595,0.099309861,0.03936375325,0.03743415775
Mitsuokella jalaludinii DSM,M00048,K00602,High,0.1850088915,0.1025258295,0.0421138535000001,0.18356845825
Mitsuokella jalaludinii DSM,M00165,K00615,High,0.0973646385,0.042201496,0.023759064,0.01406716525
Mitsuokella jalaludinii DSM,M00854,K00700,High,0.222085588,0.074989939,0.048009431,0.060036645
Mitsuokella jalaludinii DSM,M00854,K00703,High,0.092455985,0.0543979155,0.00488897625,0.00680686849999999
Mitsuokella jalaludinii DSM,M00016,K00821,High,0.3423248195,0.052092907,0.1169480725,0.023875916
Mitsuokella jalaludinii DSM,M00001,K00850,High,0.089805698,0.016960577,0.06582751725,0.0008677705
Mitsuokella jalaludinii DSM,M00001,K00927,High,0.103502511,0.111143588,0.0263650155,0
Mitsuokella jalaludinii DSM,M00003,K00927,High,0.103502511,0.111143588,0.0263650155,0
Mitsuokella jalaludinii DSM,M00165,K00927,High,0.103502511,0.111143588,0.0263650155,0
Mitsuokella jalaludinii DSM,M00016,K00928,High,0.030246479,0.060492958,0,0
Mitsuokella jalaludinii DSM,M00525,K00928,High,0.030246479,0.060492958,0,0
Mitsuokella jalaludinii DSM,M00526,K00928,High,0.030246479,0.060492958,0,0
Mitsuokella jalaludinii DSM,M00527,K00928,High,0.030246479,0.060492958,0,0
